iter	Passed	Remaining
865	1926	298
866	1931	296
867	1935	294
868	1937	292
869	1938	289
870	1940	287
871	1944	285
872	1948	283
873	1950	281
874	1951	278
875	1953	276
876	1955	274
877	1956	271
878	1959	269
879	1961	267
880	1963	265
881	1965	262
882	1966	260
883	1968	258
884	1969	255
885	1971	253
886	1973	251
887	1975	249
888	1977	246
889	1978	244
890	1980	242
891	1982	240
892	1984	237
893	1986	235
894	1988	233
895	1990	231
896	1992	228
897	1993	226
898	1995	224
899	1996	221
900	1997	219
901	1999	217
902	2000	214
903	2001	212
904	2004	210
905	2007	208
906	2009	206
907	2011	203
908	2014	201
909	2016	199
910	2020	197
911	2022	195
912	2024	192
913	2025	190
914	2026	188
915	2028	186
916	2029	183
917	2031	181
918	2034	179
919	2038	177
920	2040	174
921	2041	172
922	2042	170
923	2044	168
924	2045	165
925	2047	163
926	2050	161
927	2052	159
928	2054	157
929	2056	154
930	2058	152
931	2059	150
932	2060	147
933	2062	145
934	2065	143
935	2067	141
936	2069	139
937	2070	136
938	2072	134
939	2074	132
940	2076	130
941	2078	127
942	2082	125
943	2084	123
944	2085	121
945	2087	119
946	2089	116
947	2090	114
948	2093	112
949	2097	110
950	2099	108
951	2101	105
952	2103	103
953	2105	101
954	2107	99
955	2110	97
956	2112	94
957	2113	92
958	2115	90
959	2116	88
960	2118	85
961	2119	83
962	2121	81
963	2123	79
964	2125	77
965	2126	74
966	2127	72
967	2129	70
968	2131	68
969	2133	65
970	2135	63
971	2136	61
972	2139	59
973	2143	57
974	2146	55
975	2148	52
976	2150	50
977	2152	48
978	2154	46
979	2156	44
980	2158	41
981	2160	39
982	2163	37
983	2166	35
984	2169	33
985	2170	30
986	2172	28
987	2174	26
988	2177	24
989	2180	22
990	2184	19
991	2185	17
992	2187	15
993	2188	13
994	2192	11
995	2193	8
996	2195	6
997	2197	4
998	2198	2
999	2200	0
